gene,k562_chronos,pan_mean_chronos,selective_score
MARCO,0.0,0.23748164208777356,-0.23748164208777356
CYP24A1,0.1634987322828795,1.435440193134277,-1.2719414608513975
PRDM11,0.1890338243900171,1.7960442581552933,-1.6070104337652762
SYT13,0.1634987322828795,0.8050963782751446,-0.6415976459922651
SNAI2,0.0976107966264223,2.54777828591638,-2.450167489289958
CD74,1.4646682670034443,4.038381266470675,-2.5737129994672308
HGF,0.01435529297707,0.79552113317118,-0.78116584019411
ZRANB1,0.925999418556223,3.029376614335044,-2.1033771957788208
NCDN,4.23189316164533,4.02879131986778,0.20310184177755009
ADGRA2,1.769771739249448,1.4116160924010326,0.3581556468484155
ZFP64,3.095924419998536,3.7306422850259735,-0.6347178650274374
MNAT1,5.064796645911805,5.237996733758061,-0.17320008784625607
SAMD4A,2.805292455600712,2.630013992267477,0.17527846333323494
RUNX3,0.2265085298086797,1.8200235907290876,-1.5935150609204078
MRE11,4.583158003874408,3.975003977792821,0.6081540260815874
PLEKHB1,0.1763227726404629,1.968533706213325,-1.7922109335728622
SERPINB1,6.377123749129487,4.256557964725933,2.1205657844035546
CYP3A43,0.070389327891398,0.023682034099467893,0.0467072937919301
SLC7A9,0.0426443374084937,0.25455437491144,-0.2119100375029463
SPAST,3.4918530963296748,3.06426982235053,0.427583273979145
NRXN3,0.1763227726404629,0.9901347474788578,-0.8138119748383948
OSBPL5,2.720278465233327,2.6756914122474487,0.044587052985878284
AQR,3.8708578643637614,3.8718660102532274,-0.0010081458894659612
CPS1,2.867896463992655,1.9721876726474519,0.8957087913452031
C8B,0.0,0.023973114416888205,-0.023973114416888205
FHL1,1.1176950426697545,3.416436244234086,-2.298741201564331
RTF2,5.770036138597918,6.2563867067941015,-0.4863505681961833
GABRA1,0.0,0.08268212083790023,-0.08268212083790023
NLRP2,4.320484678017694,1.6257103386278458,2.6947743393898484
SLC45A4,3.708187236020709,2.538174407423549,1.17001282859716
RNF10,7.080657663345225,6.4692855890533805,0.6113720742918449
ZNF839,3.4776773275653072,3.2198905247236063,0.25778680284170097
ZDHHC6,4.131754090984813,4.847517472185986,-0.7157633812011728
GRAMD1B,0.2868811477881615,1.8432812748451906,-1.5564001270570291
RNH1,6.719867928344366,6.376002060908904,0.3438658674354613
NDUFS1,6.170525999176848,5.829013596016739,0.34151240316010956
RB1CC1,4.694880192799191,4.035916286117072,0.6589639066821196
ERP44,4.537917249034082,4.132750177602062,0.4051670714320199
